Reservoir_name,Basin,Subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Bhima\Ujjani Reservoir,Krishna Basin,Bhima Upper,CWC,18.20876823,75.0103563,04-10-23,2023,10,496.83,1.517,NA,NA
Bhima\Ujjani Reservoir,Krishna Basin,Bhima Upper,CWC,18.20876823,75.0103563,05-10-23,2023,10,496.83,1.517,0.83206,494.585
Bisalpur,Ganga Basin,Banas,CWC,25.9246602,75.453854,01-10-23,2023,10,315.5,1.076,0.75404,313.76
Bisalpur,Ganga Basin,Banas,CWC,25.9246602,75.453854,02-10-23,2023,10,315.5,1.076,0.75404,313.76
Bisalpur,Ganga Basin,Banas,CWC,25.9246602,75.453854,03-10-23,2023,10,315.5,1.076,0.75404,313.76
Bisalpur,Ganga Basin,Banas,CWC,25.9246602,75.453854,04-10-23,2023,10,315.5,1.076,0.75404,313.76
Bisalpur,Ganga Basin,Banas,CWC,25.9246602,75.453854,05-10-23,2023,10,315.5,1.076,0.75404,313.76
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,22.87800273,71.14656594,01-10-23,2023,10,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,22.87800273,71.14656594,02-10-23,2023,10,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,22.87800273,71.14656594,03-10-23,2023,10,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,22.87800273,71.14656594,04-10-23,2023,10,64.62,0.071,NA,NA
Brahmani-I,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,22.87800273,71.14656594,05-10-23,2023,10,64.62,0.071,NA,NA
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,20.18421909,73.1118834,01-10-23,2023,10,79.86,0.502,NA,NA
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,20.18421909,73.1118834,02-10-23,2023,10,79.86,0.502,NA,NA
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,20.18421909,73.1118834,03-10-23,2023,10,79.86,0.502,NA,NA
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,20.18421909,73.1118834,04-10-23,2023,10,79.86,0.502,NA,NA
Damanganga Reservoir,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,CWC,20.18421909,73.1118834,05-10-23,2023,10,79.86,0.502,NA,NA
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,24.33018862,72.38876378,01-10-23,2023,10,184.1,0.399,0.38741,184.1
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,24.33018862,72.38876378,02-10-23,2023,10,184.1,0.399,0.38741,184.1
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,24.33018862,72.38876378,03-10-23,2023,10,184.1,0.399,0.38741,184.1
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,24.33018862,72.38876378,04-10-23,2023,10,184.1,0.399,0.38741,184.1
Dantiwada Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,CWC,24.33018862,72.38876378,05-10-23,2023,10,184.1,0.399,0.38741,184.1
Dhom,Krishna Basin,Krishna Upper,CWC,17.97878716,73.7854294,01-10-23,2023,10,747.7,0.331,0.24272,743.42
Dhom,Krishna Basin,Krishna Upper,CWC,17.97878716,73.7854294,02-10-23,2023,10,747.7,0.331,0.24272,743.61
Dhom,Krishna Basin,Krishna Upper,CWC,17.97878716,73.7854294,03-10-23,2023,10,747.7,0.331,0.24501,743.73
Dhom,Krishna Basin,Krishna Upper,CWC,17.97878716,73.7854294,04-10-23,2023,10,747.7,0.331,0.24501,743.83
Dhom,Krishna Basin,Krishna Upper,CWC,17.97878716,73.7854294,05-10-23,2023,10,747.7,0.331,0.24779,743.87
Doyang Hep,Brahamaputra Basin,Brahmaputra Upper,CWC,26.22664352,94.29556638,01-10-23,2023,10,333,0.5351,0.323,319.75
Doyang Hep,Brahamaputra Basin,Brahmaputra Upper,CWC,26.22664352,94.29556638,02-10-23,2023,10,333,0.5351,0.322,319.65
Doyang Hep,Brahamaputra Basin,Brahmaputra Upper,CWC,26.22664352,94.29556638,03-10-23,2023,10,333,0.5351,0.321,319.55
Doyang Hep,Brahamaputra Basin,Brahmaputra Upper,CWC,26.22664352,94.29556638,04-10-23,2023,10,333,0.5351,0.319,319.45
Doyang Hep,Brahamaputra Basin,Brahmaputra Upper,CWC,26.22664352,94.29556638,05-10-23,2023,10,333,0.5351,0.316,319.25
Dudhawa,Mahanadi Basin,Mahanadi Middle,CWC,20.3062635,81.7741343,01-10-23,2023,10,425.1,0.284,NA,NA
Dudhawa,Mahanadi Basin,Mahanadi Middle,CWC,20.3062635,81.7741343,02-10-23,2023,10,425.1,0.284,NA,NA
Dudhawa,Mahanadi Basin,Mahanadi Middle,CWC,20.3062635,81.7741343,03-10-23,2023,10,425.1,0.284,NA,NA
Dudhawa,Mahanadi Basin,Mahanadi Middle,CWC,20.3062635,81.7741343,04-10-23,2023,10,425.1,0.284,NA,NA
Dudhawa,Mahanadi Basin,Mahanadi Middle,CWC,20.3062635,81.7741343,05-10-23,2023,10,425.1,0.284,NA,NA
Dudhganga,Krishna Basin,Krishna Upper,CWC,16.31720783,73.97231364,01-10-23,2023,10,646,0.664,0.66367,645.18
Dudhganga,Krishna Basin,Krishna Upper,CWC,16.31720783,73.97231364,02-10-23,2023,10,646,0.664,0.66367,645.27
Dudhganga,Krishna Basin,Krishna Upper,CWC,16.31720783,73.97231364,03-10-23,2023,10,646,0.664,0.66367,645.27
Dudhganga,Krishna Basin,Krishna Upper,CWC,16.31720783,73.97231364,04-10-23,2023,10,646,0.664,0.66367,645.27
